series_id,state,qtr_end,value_q,rule,q
A124797473K,VIC,2013-06-30,6034,NA,2013Q2
A124797473K,VIC,2013-09-30,6329,NA,2013Q3
A124797473K,VIC,2013-12-31,5851,NA,2013Q4
A124797473K,VIC,2014-03-31,5811,NA,2014Q1
A124797473K,VIC,2014-06-30,6256,NA,2014Q2
A124797473K,VIC,2014-09-30,5813,NA,2014Q3
A124797473K,VIC,2014-12-31,6290,NA,2014Q4
A124797473K,VIC,2015-03-31,6331,NA,2015Q1
A124797473K,VIC,2015-06-30,6408,NA,2015Q2
A124797473K,VIC,2015-09-30,6234,NA,2015Q3
A124797473K,VIC,2015-12-31,6419,NA,2015Q4
A124797473K,VIC,2016-03-31,6488,NA,2016Q1
A124797473K,VIC,2016-06-30,6533,NA,2016Q2
A124797473K,VIC,2016-09-30,6686,NA,2016Q3
A124797473K,VIC,2016-12-31,6805,NA,2016Q4
A124797473K,VIC,2017-03-31,6864,NA,2017Q1
A124797473K,VIC,2017-06-30,7188,NA,2017Q2
A124797473K,VIC,2017-09-30,6975,NA,2017Q3
A124797473K,VIC,2017-12-31,7359,NA,2017Q4
A124797473K,VIC,2018-03-31,7309,NA,2018Q1
A124797473K,VIC,2018-06-30,7301,NA,2018Q2
A124797473K,VIC,2018-09-30,7745,NA,2018Q3
A124797473K,VIC,2018-12-31,8088,NA,2018Q4
A124797473K,VIC,2019-03-31,8266,NA,2019Q1
A124797473K,VIC,2019-06-30,8174,NA,2019Q2
A124797473K,VIC,2019-09-30,7839,NA,2019Q3
A124797473K,VIC,2019-12-31,7537,NA,2019Q4
A124797473K,VIC,2020-03-31,7259,NA,2020Q1
A124797473K,VIC,2020-06-30,6750,NA,2020Q2
A124797473K,VIC,2020-09-30,6066,NA,2020Q3
A124797473K,VIC,2020-12-31,6449,NA,2020Q4
A124797473K,VIC,2021-03-31,6647,NA,2021Q1
A124797473K,VIC,2021-06-30,7132,NA,2021Q2
A124797473K,VIC,2021-09-30,7238,NA,2021Q3
A124797473K,VIC,2021-12-31,7261,NA,2021Q4
A124797473K,VIC,2022-03-31,7121,NA,2022Q1
A124797473K,VIC,2022-06-30,7553,NA,2022Q2
A124797473K,VIC,2022-09-30,7365,NA,2022Q3
A124797473K,VIC,2022-12-31,7865,NA,2022Q4
A124797473K,VIC,2023-03-31,8345,NA,2023Q1
A124797473K,VIC,2023-06-30,8699,NA,2023Q2
A124797473K,VIC,2023-09-30,8704,NA,2023Q3
A124797473K,VIC,2023-12-31,8584,NA,2023Q4
A124797473K,VIC,2024-03-31,8837,NA,2024Q1
A124797473K,VIC,2024-06-30,8287,NA,2024Q2
A124797473K,VIC,2024-09-30,8755,NA,2024Q3
A124797473K,VIC,2024-12-31,8856,NA,2024Q4
A124797473K,VIC,2025-03-31,8417,NA,2025Q1
A124797473K,VIC,2025-06-30,9004,NA,2025Q2
A124797512R,WA,1989-09-30,2409,NA,1989Q3
A124797512R,WA,1989-12-31,1891,NA,1989Q4
A124797512R,WA,1990-03-31,1789,NA,1990Q1
A124797512R,WA,1990-06-30,1802,NA,1990Q2
A124797512R,WA,1990-09-30,1896,NA,1990Q3
A124797512R,WA,1990-12-31,1817,NA,1990Q4
A124797512R,WA,1991-03-31,1688,NA,1991Q1
A124797512R,WA,1991-06-30,1740,NA,1991Q2
A124797512R,WA,1991-09-30,1740,NA,1991Q3
A124797512R,WA,1991-12-31,1732,NA,1991Q4
A124797512R,WA,1992-03-31,1683,NA,1992Q1
A124797512R,WA,1992-06-30,1733,NA,1992Q2
A124797512R,WA,1992-09-30,1960,NA,1992Q3
A124797512R,WA,1992-12-31,2067,NA,1992Q4
A124797512R,WA,1993-03-31,2484,NA,1993Q1
A124797512R,WA,1993-06-30,2130,NA,1993Q2
A124797512R,WA,1993-09-30,2131,NA,1993Q3
A124797512R,WA,1993-12-31,2364,NA,1993Q4
A124797512R,WA,1994-03-31,2011,NA,1994Q1
A124797512R,WA,1994-06-30,2443,NA,1994Q2
A124797512R,WA,1994-09-30,2038,NA,1994Q3
A124797512R,WA,1994-12-31,3078,NA,1994Q4
A124797512R,WA,1995-03-31,2603,NA,1995Q1
A124797512R,WA,1995-06-30,2496,NA,1995Q2
A124797512R,WA,1995-09-30,3076,NA,1995Q3
A124797512R,WA,1995-12-31,3138,NA,1995Q4
A124797512R,WA,1996-03-31,2957,NA,1996Q1
A124797512R,WA,1996-06-30,3321,NA,1996Q2
A124797512R,WA,1996-09-30,2673,NA,1996Q3
A124797512R,WA,1996-12-31,2703,NA,1996Q4
A124797512R,WA,1997-03-31,2704,NA,1997Q1
A124797512R,WA,1997-06-30,2756,NA,1997Q2
A124797512R,WA,1997-09-30,3023,NA,1997Q3
A124797512R,WA,1997-12-31,3540,NA,1997Q4
A124797512R,WA,1998-03-31,3834,NA,1998Q1
A124797512R,WA,1998-06-30,3740,NA,1998Q2
A124797512R,WA,1998-09-30,3623,NA,1998Q3
A124797512R,WA,1998-12-31,2516,NA,1998Q4
A124797512R,WA,1999-03-31,2946,NA,1999Q1
A124797512R,WA,1999-06-30,2471,NA,1999Q2
A124797512R,WA,1999-09-30,2527,NA,1999Q3
A124797512R,WA,1999-12-31,2250,NA,1999Q4
A124797512R,WA,2000-03-31,2159,NA,2000Q1
A124797512R,WA,2000-06-30,2414,NA,2000Q2
A124797512R,WA,2000-09-30,1616,NA,2000Q3
A124797512R,WA,2000-12-31,2224,NA,2000Q4
A124797512R,WA,2001-03-31,2750,NA,2001Q1
A124797512R,WA,2001-06-30,2324,NA,2001Q2
A124797512R,WA,2001-09-30,2439,NA,2001Q3
A124797512R,WA,2001-12-31,2374,NA,2001Q4
A124797512R,WA,2002-03-31,2395,NA,2002Q1
A124797512R,WA,2002-06-30,2684,NA,2002Q2
A124797512R,WA,2002-09-30,2501,NA,2002Q3
A124797512R,WA,2002-12-31,2848,NA,2002Q4
A124797512R,WA,2003-03-31,3188,NA,2003Q1
A124797512R,WA,2003-06-30,3357,NA,2003Q2
A124797512R,WA,2003-09-30,3833,NA,2003Q3
A124797512R,WA,2003-12-31,4102,NA,2003Q4
A124797512R,WA,2004-03-31,3694,NA,2004Q1
A124797512R,WA,2004-06-30,3827,NA,2004Q2
A124797512R,WA,2004-09-30,4052,NA,2004Q3
A124797512R,WA,2004-12-31,4267,NA,2004Q4
A124797512R,WA,2005-03-31,4506,NA,2005Q1
A124797512R,WA,2005-06-30,4255,NA,2005Q2
A124797512R,WA,2005-09-30,5769,NA,2005Q3
A124797512R,WA,2005-12-31,6295,NA,2005Q4
A124797512R,WA,2006-03-31,7157,NA,2006Q1
A124797512R,WA,2006-06-30,8152,NA,2006Q2
A124797512R,WA,2006-09-30,6990,NA,2006Q3
A124797512R,WA,2006-12-31,7452,NA,2006Q4
A124797512R,WA,2007-03-31,8270,NA,2007Q1
A124797512R,WA,2007-06-30,8959,NA,2007Q2
A124797512R,WA,2007-09-30,8523,NA,2007Q3
A124797512R,WA,2007-12-31,8949,NA,2007Q4
A124797512R,WA,2008-03-31,9433,NA,2008Q1
A124797512R,WA,2008-06-30,9714,NA,2008Q2
A124797512R,WA,2008-09-30,10918,NA,2008Q3
A124797512R,WA,2008-12-31,11734,NA,2008Q4
A124797512R,WA,2009-03-31,10443,NA,2009Q1
A124797512R,WA,2009-06-30,11809,NA,2009Q2
A124797512R,WA,2009-09-30,9891,NA,2009Q3
A124797512R,WA,2009-12-31,10111,NA,2009Q4
